filename,start_time_s,end_time_s,chroma_mean,chroma_std,mfccs_mean,mfccs_std
20180111_173107.wav,0.0,0.9171882086167801,0.5828125,0.3329059,-22.444283,144.00243
20180111_173107.wav,0.9171882086167801,2.043356009070295,0.37436038,0.33268732,-6.527448,110.963005
20180111_173107.wav,2.043356009070295,3.8080725623582765,0.371589,0.35612038,-10.131714,125.173805
20180111_173107.wav,3.8080725623582765,5.897868480725624,0.26081333,0.3144815,-8.734892,129.44768
20180111_173107.wav,5.897868480725624,11.830566893424036,0.25704643,0.33878034,-13.310632,129.36752
20180111_173107.wav,11.830566893424036,17.565895691609978,0.375116,0.33256522,-7.455113,130.07173
20180111_173107.wav,17.565895691609978,19.075192743764173,0.282164,0.34178758,-7.222382,132.24495
20180111_173107.wav,19.075192743764173,20.340680272108845,0.30277824,0.33194497,-7.6752505,130.84892
20180111_173107.wav,20.340680272108845,21.826757369614512,0.35370597,0.36571613,-9.942969,132.49036
20180111_173107.wav,21.826757369614512,22.96453514739229,0.23492979,0.34566218,-13.8758955,130.25905
20180111_173107.wav,22.96453514739229,24.29968253968254,0.29435408,0.35014662,-10.771134,133.38072
20180111_173107.wav,24.29968253968254,26.110839002267575,0.23561631,0.3390259,-13.428854,134.16234
20180111_173107.wav,26.110839002267575,27.051247165532878,0.30567393,0.3421924,-12.824154,133.02782
20180111_173107.wav,27.051247165532878,28.026485260770976,0.33649892,0.32838306,-9.831864,138.4111
20180306_195447.wav,0.0,5.027120181405896,0.3765725,0.3193039,-9.195256,113.63436
20180306_195447.wav,5.027120181405896,10.448979591836734,0.54253334,0.29009917,-3.736449,105.03143
20180306_195447.wav,10.448979591836734,21.861587301587303,0.46324477,0.30311322,-6.775847,104.31717
20180306_195447.wav,21.861587301587303,27.2021768707483,0.3720037,0.3098482,-7.631017,118.795715
20180306_195447.wav,27.2021768707483,37.67437641723356,0.45500523,0.304234,-6.4616055,108.40789
20180306_195447.wav,37.67437641723356,41.912018140589566,0.46984753,0.29761913,-5.0239897,105.89752
20180306_195447.wav,41.912018140589566,44.01342403628118,0.3416691,0.3237986,-10.552219,112.36782
20180306_195447.wav,44.01342403628118,89.93088435374149,0.40800062,0.3030203,-8.293703,110.24528
20180306_195447.wav,89.93088435374149,100.27537414965987,0.43427184,0.30412912,-5.0474834,106.73858
20180306_195447.wav,100.27537414965987,115.55410430839002,0.47825083,0.29393724,-6.422072,105.402374
20180306_195447.wav,115.55410430839002,117.79482993197279,0.56068295,0.2676444,-13.672047,136.16805
20180306_195447.wav,117.79482993197279,123.20507936507937,0.369096,0.3375875,-21.054497,137.17345
20180306_195447.wav,123.20507936507937,126.09596371882085,0.5675088,0.26963556,-7.9908514,124.77871
20180306_195447.wav,126.09596371882085,134.48997732426304,0.53587973,0.26960093,-24.332464,108.67182
scottis.wav,0.0,2.589024943310658,0.5649051,0.30220756,-27.454742,146.74521
scottis.wav,2.589024943310658,147.69052154195012,0.42626485,0.32018661,-8.7870245,114.455986
scottis.wav,147.69052154195012,149.57133786848073,0.2735443,0.30049524,-16.573624,157.47473
scottis.wav,149.57133786848073,314.65360544217685,0.4375817,0.32227856,-9.6553545,118.72868
scottis.wav,314.65360544217685,317.10331065759635,0.2696684,0.2921377,-16.308483,154.12613
scottis.wav,317.10331065759635,355.6600453514739,0.29728603,0.32291886,-16.541502,120.43932
scottis.wav,355.6600453514739,381.97986394557824,0.22680569,0.30252194,-20.516926,121.25279
scottis.wav,381.97986394557824,424.65814058956914,0.2549196,0.3137744,-19.751997,122.4497
