filename,start_time_s,end_time_s,chroma_mean,chroma_std,mfccs_mean,mfccs_std,cluster
Voice 013.wav,32.39183673,33.08843537,0.34412962,0.3232175,-15.591361,121.01742,0
Voice 168.wav,6.59446712,7.46521542,0.40197545,0.3201331,-14.408377,112.10766,0
guit plonk.wav,0,3.9938322,0.4176899,0.3120009,-17.982187,105.72143,0
+.wav,283.5620862,326.9834014,0.36823916,0.31556523,-15.237514,122.57407,0
20180416_085916.wav,4.969070295,5.317369615,0.3704504,0.31737205,-16.05732,122.453094,0
Omnipotent melody sketch.wav,7.407165533,52.77895692,0.337804,0.32707033,-14.118015,113.6754,0
Voice 162.wav,188.6737415,225.1639002,0.34659153,0.31196743,-13.647179,115.67505,0
Voice 032.wav,449.7240816,492.4720181,0.37437388,0.31415945,-11.444809,115.77256,0
Voice 162.wav,160.9723356,188.6737415,0.32132012,0.3219483,-19.95439,119.44459,0
Voice 032.wav,492.4720181,528.7067574,0.39165017,0.3186542,-13.868346,116.20833,0
20180731_230437.wav,17.57750567,29.64027211,0.33746767,0.3101636,-14.797307,117.81333,0
Voice 167.wav,61.64897959,66.23492063,0.33163467,0.30715024,-16.112251,111.54206,0
Voice 109.wav,493.5401361,525.2237642,0.31764907,0.32649142,-14.279029,109.86732,0
20170303_132535.wav,882.0331973,1022.142404,0.3387449,0.31553555,-19.282978,110.899925,0
20170303_132535.wav,0,443.1180045,0.36633816,0.31731805,-17.344526,109.20319,0
newstuff.wav,2173.701224,2391.550839,0.35091272,0.30727857,-15.97365,119.33395,0
newstuff.wav,2391.550839,2744.14585,0.3593825,0.31481346,-15.710539,119.94795,0
Voice 147.wav,717.287619,762.0556916,0.38365445,0.317048,-11.245416,114.09781,0
20170321_135518.wav,333.9029478,347.4517914,0.30891564,0.3120741,-14.401359,119.53025,0
20170326_153235.wav,2170.253061,2483.652789,0.35293093,0.32017756,-19.869438,118.31354,0
20170326_153235.wav,1599.193107,1809.960635,0.328389,0.3108579,-14.585602,115.08778,0
newstuff.wav,1596.824671,2173.701224,0.34836498,0.31796286,-16.68852,121.767975,0
20170304_204544.wav,240.2684807,251.0773696,0.34086165,0.32037765,-20.919107,113.56199,0
20170326_153235.wav,1230.680816,1358.286077,0.33270776,0.3157431,-15.815252,115.12852,0
voboner sxuffed demo.wav,50.49179138,53.10403628,0.36254138,0.3199328,-12.816663,121.210846,0
Voice 147.wav,318.4965079,543.0218594,0.3331594,0.32349196,-14.081065,114.32549,0
20180526_094830.wav,470.9355102,494.7011338,0.37087893,0.32085305,-13.0807,118.098015,0
Voice 048.wav,1274.450431,2098.665941,0.32479164,0.30816856,-14.120564,116.80517,0
Voice 147.wav,155.5736961,225.0129705,0.32686877,0.31539905,-16.213896,115.80555,0
